DATE,A261RX1Q020SBEA,AMDMTI,AMDMVS,AMTMUO,BOPTEXP,BOPTIMP,BUSINV,CPIAUCSL,CPILFESL,DGORDER,DSPIC96,GACDFSA066MSFRBPHI,GACDISA066MSFRBNY,GDPC1,HOUST,HSN1F,I42IMSM144SCEN,INDPRO,IQ,IR,JTSJOL,NPPTTL,PAYEMS,PCEC96,PCEPI,PCEPILFE,PERMIT,PPIFIS,RSAFS,TCU,TTLCONS,ULCNFB,UMCSENT,UNRATE
1923-09-01,,,,,,,,,,,,,,,,,,-2.21184,,,,,,,,,,,,,,,,
1923-10-01,,,,,,,,,,,,,,,,,,-0.45271,,,,,,,,,,,,,,,,
1923-11-01,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
1923-12-01,,,,,,,,,,,,,,,,,,-2.27384,,,,,,,,,,,,,,,,
1924-01-01,,,,,,,,,,,,,,,,,,2.32675,,,,,,,,,,,,,,,,
1924-02-01,,,,,,,,,,,,,,,,,,1.81738,,,,,,,,,,,,,,,,
1924-03-01,,,,,,,,,,,,,,,,,,-1.78494,,,,,,,,,,,,,,,,
1924-04-01,,,,,,,,,,,,,,,,,,-3.18169,,,,,,,,,,,,,,,,
1924-05-01,,,,,,,,,,,,,,,,,,-4.22567,,,,,,,,,,,,,,,,
1924-06-01,,,,,,,,,,,,,,,,,,-4.41211,,,,,,,,,,,,,,,,
1924-07-01,,,,,,,,,,,,,,,,,,-1.53922,,,,,,,,,,,,,,,,
1924-08-01,,,,,,,,,,,,,,,,,,3.64767,,,,,,,,,,,,,,,,
1924-09-01,,,,,,,,,,,,,,,,,,3.51743,,,,,,,,,,,,,,,,
1924-10-01,,,,,,,,,,,,,,,,,,2.42656,,,,,,,,,,,,,,,,
1924-11-01,,,,,,,,,,,,,,,,,,1.89491,,,,,,,,,,,,,,,,
1924-12-01,,,,,,,,,,,,,,,,,,2.7921,,,,,,,,,,,,,,,,
1925-01-01,,,,,,,,,,,,,,,,,,3.16728,,,,,,,,,,,,,,,,
1925-02-01,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
1925-03-01,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
1925-04-01,,,,,,,,,,,,,,,,,,0.87599,,,,,,,,,,,,,,,,
1925-05-01,,,,,,,,,,,,,,,,,,-0.43338,,,,,,,,,,,,,,,,
1925-06-01,,,,,,,,,,,,,,,,,,-0.87379,,,,,,,,,,,,,,,,
1925-07-01,,,,,,,,,,,,,,,,,,2.64283,,,,,,,,,,,,,,,,
1925-08-01,,,,,,,,,,,,,,,,,,-1.71599,,,,,,,,,,,,,,,,
1925-09-01,,,,,,,,,,,,,,,,,,-1.31068,,,,,,,,,,,,,,,,
1925-10-01,,,,,,,,,,,,,,,,,,3.98262,,,,,,,,,,,,,,,,
1925-11-01,,,,,,,,,,,,,,,,,,2.12712,,,,,,,,,,,,,,,,
1925-12-01,,,,,,,,,,,,,,,,,,1.25062,,,,,,,,,,,,,,,,
1926-01-01,,,,,,,,,,,,,,,,,,-1.6469,,,,,,,,,,,,,,,,
1926-02-01,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
1926-03-01,,,,,,,,,,,,,,,,,,1.25586,,,,,,,,,,,,,,,,
